classifier_name,dataset_name,accuracy
SAX,ACSF1,0.8237989949748743
SFA,ACSF1,0.8201557788944722
SPARTAN,ACSF1,0.8690753768844222
SAX,Adiac,0.7157224465675169
SFA,Adiac,0.949524935158738
SPARTAN,Adiac,0.9530411372664892
SAX,AllGestureWiimoteX,0.8191059059059059
SFA,AllGestureWiimoteX,0.8251621621621622
SPARTAN,AllGestureWiimoteX,0.8302256256256255
SAX,AllGestureWiimoteY,0.8231011011011011
SFA,AllGestureWiimoteY,0.8268482482482483
SPARTAN,AllGestureWiimoteY,0.8333095095095097
SAX,AllGestureWiimoteZ,0.8137097097097096
SFA,AllGestureWiimoteZ,0.8233009009009009
SPARTAN,AllGestureWiimoteZ,0.8254640640640641
SAX,ArrowHead,0.4898533062514104
SFA,ArrowHead,0.5949763033175357
SPARTAN,ArrowHead,0.6511938614308282
SAX,BME,0.6306021104903785
SFA,BME,0.621266294227188
SPARTAN,BME,0.6385226567349471
SAX,Beef,0.6802259887005649
SFA,Beef,0.7463276836158192
SPARTAN,Beef,0.7310169491525423
SAX,BeetleFly,0.4969230769230769
SFA,BeetleFly,0.5083333333333333
SPARTAN,BeetleFly,0.4928205128205128
SAX,BirdChicken,0.5194871794871794
SFA,BirdChicken,0.5457692307692308
SPARTAN,BirdChicken,0.5194871794871794
SAX,CBF,0.6482215817678856
SFA,CBF,0.6389050545736541
SPARTAN,CBF,0.6733437503617024
SAX,Car,0.5760084033613444
SFA,Car,0.709047619047619
SPARTAN,Car,0.6880812324929972
SAX,Chinatown,0.5396283274736314
SFA,Chinatown,0.5094409692099295
SPARTAN,Chinatown,0.5349223018735827
SAX,ChlorineConcentration,0.5051763237478043
SFA,ChlorineConcentration,0.5310486358686983
SPARTAN,ChlorineConcentration,0.5353095572066386
SAX,CinCECGTorso,0.6443726488600383
SFA,CinCECGTorso,0.6410031861358425
SPARTAN,CinCECGTorso,0.6653645197470943
SAX,Coffee,0.5012987012987012
SFA,Coffee,0.5972727272727273
SPARTAN,Coffee,0.7685714285714286
SAX,Computers,0.4997683366733467
SFA,Computers,0.499922244488978
SPARTAN,Computers,0.4992561122244489
SAX,CricketX,0.846865145979395
SFA,CricketX,0.8537098844672657
SPARTAN,CricketX,0.8603564727954971
SAX,CricketY,0.8423639774859286
SFA,CricketY,0.8597926335538659
SPARTAN,CricketY,0.8596431980514136
SAX,CricketZ,0.8461551627662025
SFA,CricketZ,0.85229386787795
SPARTAN,CricketZ,0.8597722260623415
SAX,Crop,0.9239689660680306
SFA,Crop,0.9301629869994584
SPARTAN,Crop,0.931694141769796
SAX,DiatomSizeReduction,0.860072367020762
SFA,DiatomSizeReduction,0.7496275226872544
SPARTAN,DiatomSizeReduction,0.8284959656353399
SAX,DistalPhalanxOutlineAgeGroup,0.5166527577573781
SFA,DistalPhalanxOutlineAgeGroup,0.5672627956217973
SPARTAN,DistalPhalanxOutlineAgeGroup,0.5947603644364134
SAX,DistalPhalanxOutlineCorrect,0.509784735812133
SFA,DistalPhalanxOutlineCorrect,0.5082859752120026
SPARTAN,DistalPhalanxOutlineCorrect,0.5099251141552512
SAX,DistalPhalanxTW,0.5429854266816561
SFA,DistalPhalanxTW,0.703214682290625
SPARTAN,DistalPhalanxTW,0.7527591367740067
SAX,DodgerLoopDay,0.7851165040715955
SFA,DodgerLoopDay,0.8052084173183907
SPARTAN,DodgerLoopDay,0.8106667741675402
SAX,DodgerLoopGame,0.5742965411593969
SFA,DodgerLoopGame,0.5110457147464323
SPARTAN,DodgerLoopGame,0.6629847617511893
SAX,DodgerLoopWeekend,0.5104410223333066
SFA,DodgerLoopWeekend,0.8761186809642829
SPARTAN,DodgerLoopWeekend,0.5133435459163106
SAX,ECG200,0.5148743718592964
SFA,ECG200,0.6117487437185931
SPARTAN,ECG200,0.6370552763819095
SAX,ECG5000,0.6259986317263453
SFA,ECG5000,0.6320686857371476
SPARTAN,ECG5000,0.6763457811562311
SAX,ECGFiveDays,0.5455588978338961
SFA,ECGFiveDays,0.5764336922154524
SPARTAN,ECGFiveDays,0.5062951271631573
SAX,EOGHorizontalSignal,0.8579609973789383
SFA,EOGHorizontalSignal,0.8571422021503405
SPARTAN,EOGHorizontalSignal,0.8664809762881791
SAX,EOGVerticalSignal,0.8466854649518962
SFA,EOGVerticalSignal,0.8599493363288324
SPARTAN,EOGVerticalSignal,0.86430847527567
SAX,Earthquakes,0.4998038291049703
SFA,Earthquakes,0.5079656700933698
SPARTAN,Earthquakes,0.5049608601339244
SAX,ElectricDevices,0.7427178234916242
SFA,ElectricDevices,0.7654745504704553
SPARTAN,ElectricDevices,0.7565513917008388
SAX,EthanolLevel,0.346783355113941
SFA,EthanolLevel,0.6221538571536387
SPARTAN,EthanolLevel,0.6249401198794057
SAX,FaceAll,0.7443027518403242
SFA,FaceAll,0.8693782323007756
SPARTAN,FaceAll,0.8689335902376365
SAX,FaceFour,0.6240347490347491
SFA,FaceFour,0.6957850707850708
SPARTAN,FaceFour,0.7277509652509652
SAX,FacesUCR,0.7443027518403242
SFA,FacesUCR,0.8711525319895262
SPARTAN,FacesUCR,0.86835464650956
SAX,FiftyWords,0.9274152935999608
SFA,FiftyWords,0.9450183347186232
SPARTAN,FiftyWords,0.9441456021121596
SAX,Fish,0.7724928366762177
SFA,Fish,0.7844355300859599
SPARTAN,Fish,0.7867539909946788
SAX,FordA,0.5001392406527194
SFA,FordA,0.5000226670830009
SPARTAN,FordA,0.5000333562977979
SAX,FordB,0.4999881593748149
SFA,FordB,0.499980164422767
SPARTAN,FordB,0.5000759621646484
SAX,FreezerRegularTrain,0.65297321329332
SFA,FreezerRegularTrain,0.6228822940980326
SPARTAN,FreezerRegularTrain,0.5752345226186507
SAX,FreezerSmallTrain,0.6540292362106984
SFA,FreezerSmallTrain,0.6219326411116127
SPARTAN,FreezerSmallTrain,0.5883466509565332
SAX,Fungi,0.8250507099391481
SFA,Fungi,0.9495073891625616
SPARTAN,Fungi,0.9583743842364532
SAX,GestureMidAirD1,0.92861657858234
SFA,GestureMidAirD1,0.9410197882464488
SPARTAN,GestureMidAirD1,0.9421768826927466
SAX,GestureMidAirD2,0.9412708724737942
