dataset,a,w,method,tlb,param
BeetleFly,4,4,sax,0.081237905954528,none
BeetleFly,4,4,sfa,0.1726242988279661,none
BeetleFly,4,4,sfa,0.1900753493083863,var
BeetleFly,4,4,spartan,0.2017910621412322,woDAA
BeetleFly,4,4,spartan,0.2017910621412322,dp_debug-reg7-delta0.5
BeetleFly,5,4,sax,0.1210162344524048,none
BeetleFly,5,4,sfa,0.2105837772223286,none
BeetleFly,5,4,sfa,0.1978531232388395,var
BeetleFly,5,4,spartan,0.2422572846841586,woDAA
BeetleFly,5,4,spartan,0.2163489918494993,dp_debug-reg7-delta0.5
BeetleFly,6,4,sax,0.1508437853237212,none
BeetleFly,6,4,sfa,0.2277293964851315,none
BeetleFly,6,4,sfa,0.2430766459280147,var
BeetleFly,6,4,spartan,0.2787964199024701,woDAA
BeetleFly,6,4,spartan,0.2598756675929178,dp_debug-reg7-delta0.5
BeetleFly,7,4,sax,0.1810298893427761,none
BeetleFly,7,4,sfa,0.2523994341205233,none
BeetleFly,7,4,sfa,0.2686833667119788,var
BeetleFly,7,4,spartan,0.2624432313623249,woDAA
BeetleFly,7,4,spartan,0.2788339806900584,dp_debug-reg7-delta0.5
BeetleFly,8,4,sax,0.1849632371667962,none
BeetleFly,8,4,sfa,0.2542281232406376,none
BeetleFly,8,4,sfa,0.2854930743576745,var
BeetleFly,8,4,spartan,0.3026074830872595,woDAA
BeetleFly,8,4,spartan,0.3026074830872595,dp_debug-reg7-delta0.5
BeetleFly,9,4,sax,0.1977786098835881,none
BeetleFly,9,4,sfa,0.262895054727313,none
BeetleFly,9,4,sfa,0.296409238859035,var
BeetleFly,9,4,spartan,0.308011572914359,woDAA
BeetleFly,9,4,spartan,0.3026074830872595,dp_debug-reg7-delta0.5
BeetleFly,10,4,sax,0.2177255799374723,none
BeetleFly,10,4,sfa,0.2747704097250931,none
BeetleFly,10,4,sfa,0.3002616782934765,var
BeetleFly,10,4,spartan,0.3322002244887054,woDAA
BeetleFly,10,4,spartan,0.3237504153131806,dp_debug-reg7-delta0.5
BeetleFly,4,5,sax,0.1628706195666558,none
BeetleFly,4,5,sfa,0.1899983089611155,none
BeetleFly,4,5,sfa,0.2079270395283569,var
BeetleFly,4,5,spartan,0.2229327914141909,woDAA
BeetleFly,4,5,spartan,0.2229327914141909,dp_debug-reg7-delta0.5
BeetleFly,5,5,sax,0.1677033908630038,none
BeetleFly,5,5,sfa,0.214061939647492,none
BeetleFly,5,5,sfa,0.2240071484648374,var
BeetleFly,5,5,spartan,0.2682225204312324,woDAA
BeetleFly,5,5,spartan,0.2363615603315709,dp_debug-reg7-delta0.5
BeetleFly,6,5,sax,0.2209651894905016,none
BeetleFly,6,5,sfa,0.2452845751101989,none
BeetleFly,6,5,sfa,0.26678660387788,var
BeetleFly,6,5,spartan,0.2983692752389366,woDAA
BeetleFly,6,5,spartan,0.2763880198606571,dp_debug-reg7-delta0.5
BeetleFly,7,5,sax,0.2552539198910874,none
BeetleFly,7,5,sfa,0.2729213872169527,none
BeetleFly,7,5,sfa,0.2918229217770121,var
BeetleFly,7,5,spartan,0.3011428680027024,woDAA
BeetleFly,7,5,spartan,0.3167576801717728,dp_debug-reg7-delta0.5
BeetleFly,8,5,sax,0.2817499808054283,none
BeetleFly,8,5,sfa,0.2788107871529134,none
BeetleFly,8,5,sfa,0.3077198179742812,var
BeetleFly,8,5,spartan,0.3404155148705014,woDAA
BeetleFly,8,5,spartan,0.3404155148705014,dp_debug-reg7-delta0.5
BeetleFly,9,5,sax,0.2747256159822434,none
BeetleFly,9,5,sfa,0.28431580901395,none
