,dataset,a,w,method,tlb
0,BeetleFly,4,4,SAX,0.081237905954528
1,BeetleFly,4,4,SFA,0.1726242988279661
3,BeetleFly,4,4,SPARTAN_woDAA,0.2017910621412322
4,BeetleFly,4,4,SPARTAN,0.2017910621412322
5,BeetleFly,5,4,SAX,0.1210162344524048
6,BeetleFly,5,4,SFA,0.2105837772223286
8,BeetleFly,5,4,SPARTAN_woDAA,0.2422572846841586
9,BeetleFly,5,4,SPARTAN,0.2163489918494993
10,BeetleFly,6,4,SAX,0.1508437853237212
11,BeetleFly,6,4,SFA,0.2277293964851315
13,BeetleFly,6,4,SPARTAN_woDAA,0.2787964199024701
14,BeetleFly,6,4,SPARTAN,0.2598756675929178
15,BeetleFly,7,4,SAX,0.1810298893427761
16,BeetleFly,7,4,SFA,0.2523994341205233
18,BeetleFly,7,4,SPARTAN_woDAA,0.2624432313623249
19,BeetleFly,7,4,SPARTAN,0.2788339806900584
20,BeetleFly,8,4,SAX,0.1849632371667962
21,BeetleFly,8,4,SFA,0.2542281232406376
23,BeetleFly,8,4,SPARTAN_woDAA,0.3026074830872595
24,BeetleFly,8,4,SPARTAN,0.3026074830872595
25,BeetleFly,9,4,SAX,0.1977786098835881
26,BeetleFly,9,4,SFA,0.262895054727313
28,BeetleFly,9,4,SPARTAN_woDAA,0.308011572914359
29,BeetleFly,9,4,SPARTAN,0.3026074830872595
30,BeetleFly,10,4,SAX,0.2177255799374723
31,BeetleFly,10,4,SFA,0.2747704097250931
33,BeetleFly,10,4,SPARTAN_woDAA,0.3322002244887054
34,BeetleFly,10,4,SPARTAN,0.3237504153131806
35,BeetleFly,4,5,SAX,0.1628706195666558
36,BeetleFly,4,5,SFA,0.1899983089611155
38,BeetleFly,4,5,SPARTAN_woDAA,0.2229327914141909
39,BeetleFly,4,5,SPARTAN,0.2229327914141909
40,BeetleFly,5,5,SAX,0.1677033908630038
41,BeetleFly,5,5,SFA,0.214061939647492
43,BeetleFly,5,5,SPARTAN_woDAA,0.2682225204312324
44,BeetleFly,5,5,SPARTAN,0.2363615603315709
45,BeetleFly,6,5,SAX,0.2209651894905016
46,BeetleFly,6,5,SFA,0.2452845751101989
48,BeetleFly,6,5,SPARTAN_woDAA,0.2983692752389366
49,BeetleFly,6,5,SPARTAN,0.2763880198606571
50,BeetleFly,7,5,SAX,0.2552539198910874
51,BeetleFly,7,5,SFA,0.2729213872169527
53,BeetleFly,7,5,SPARTAN_woDAA,0.3011428680027024
54,BeetleFly,7,5,SPARTAN,0.3167576801717728
55,BeetleFly,8,5,SAX,0.2817499808054283
56,BeetleFly,8,5,SFA,0.2788107871529134
58,BeetleFly,8,5,SPARTAN_woDAA,0.3404155148705014
59,BeetleFly,8,5,SPARTAN,0.3404155148705014
60,BeetleFly,9,5,SAX,0.2747256159822434
61,BeetleFly,9,5,SFA,0.28431580901395
63,BeetleFly,9,5,SPARTAN_woDAA,0.3478384326864057
64,BeetleFly,9,5,SPARTAN,0.3404155148705014
65,BeetleFly,10,5,SAX,0.3010589297488015
66,BeetleFly,10,5,SFA,0.2943502200551744
68,BeetleFly,10,5,SPARTAN_woDAA,0.3566191307911788
69,BeetleFly,10,5,SPARTAN,0.3597018343123125
70,BeetleFly,4,6,SAX,0.1709879987824225
71,BeetleFly,4,6,SFA,0.2066585125781087
73,BeetleFly,4,6,SPARTAN_woDAA,0.2500087109984029
74,BeetleFly,4,6,SPARTAN,0.2500087109984029
75,BeetleFly,5,6,SAX,0.2143950047783936
76,BeetleFly,5,6,SFA,0.2377298868536551
78,BeetleFly,5,6,SPARTAN_woDAA,0.2906699431814922
79,BeetleFly,5,6,SPARTAN,0.2609655815804064
80,BeetleFly,6,6,SAX,0.2480559362214477
81,BeetleFly,6,6,SFA,0.2729668016623299
83,BeetleFly,6,6,SPARTAN_woDAA,0.3213031721328886
84,BeetleFly,6,6,SPARTAN,0.3124465069353738
85,BeetleFly,7,6,SAX,0.2790685418740316
86,BeetleFly,7,6,SFA,0.3019099194893318
88,BeetleFly,7,6,SPARTAN_woDAA,0.339886494730473
89,BeetleFly,7,6,SPARTAN,0.3332659784969957
90,BeetleFly,8,6,SAX,0.286888217833641
91,BeetleFly,8,6,SFA,0.309099439176802
93,BeetleFly,8,6,SPARTAN_woDAA,0.377971867442883
94,BeetleFly,8,6,SPARTAN,0.377971867442883
95,BeetleFly,9,6,SAX,0.3080249722710229
96,BeetleFly,9,6,SFA,0.3159721374772883
98,BeetleFly,9,6,SPARTAN_woDAA,0.3827244008036954
99,BeetleFly,9,6,SPARTAN,0.3954805744129895
100,BeetleFly,10,6,SAX,0.329194162942273
101,BeetleFly,10,6,SFA,0.324803913665579
103,BeetleFly,10,6,SPARTAN_woDAA,0.3918015309027152
104,BeetleFly,10,6,SPARTAN,0.3954805744129895
105,BeetleFly,4,7,SAX,0.1630966364206526
106,BeetleFly,4,7,SFA,0.2229626712591269
108,BeetleFly,4,7,SPARTAN_woDAA,0.2807696102791921
109,BeetleFly,4,7,SPARTAN,0.2807696102791921
110,BeetleFly,5,7,SAX,0.2577511739428317
111,BeetleFly,5,7,SFA,0.2513451857571361
113,BeetleFly,5,7,SPARTAN_woDAA,0.3193905795496795
114,BeetleFly,5,7,SPARTAN,0.3235467908206583
115,BeetleFly,6,7,SAX,0.2852072993447452
116,BeetleFly,6,7,SFA,0.2900577972039909
118,BeetleFly,6,7,SPARTAN_woDAA,0.3545334779854883
119,BeetleFly,6,7,SPARTAN,0.3574382304456077
120,BeetleFly,7,7,SAX,0.3122917035247041
121,BeetleFly,7,7,SFA,0.3254185125756765
123,BeetleFly,7,7,SPARTAN_woDAA,0.3778289983535501
124,BeetleFly,7,7,SPARTAN,0.3770729409438778
125,BeetleFly,8,7,SAX,0.3081765570222011
126,BeetleFly,8,7,SFA,0.3361999188810063
128,BeetleFly,8,7,SPARTAN_woDAA,0.4134224683084017
129,BeetleFly,8,7,SPARTAN,0.4134224683084017
130,BeetleFly,9,7,SAX,0.3472636421403472
131,BeetleFly,9,7,SFA,0.3529990355139078
133,BeetleFly,9,7,SPARTAN_woDAA,0.4205742058040077
134,BeetleFly,9,7,SPARTAN,0.4293006150858653
135,BeetleFly,10,7,SAX,0.3721404310533155
136,BeetleFly,10,7,SFA,0.3548282253802878
138,BeetleFly,10,7,SPARTAN_woDAA,0.4291753186716939
139,BeetleFly,10,7,SPARTAN,0.4435015622809684
140,BeetleFly,4,8,SAX,0.2933597381637881
141,BeetleFly,4,8,SFA,0.2411133994340175
143,BeetleFly,4,8,SPARTAN_woDAA,0.2961663068749349
144,BeetleFly,4,8,SPARTAN,0.2907011383080988
145,BeetleFly,5,8,SAX,0.2973908829425772
146,BeetleFly,5,8,SFA,0.2715344107873803
148,BeetleFly,5,8,SPARTAN_woDAA,0.33843820955647
149,BeetleFly,5,8,SPARTAN,0.3372548271150238
150,BeetleFly,6,8,SAX,0.3256260967753916
151,BeetleFly,6,8,SFA,0.3159043451523953
153,BeetleFly,6,8,SPARTAN_woDAA,0.3822284089855792
154,BeetleFly,6,8,SPARTAN,0.3699640985556233
155,BeetleFly,7,8,SAX,0.342768758496624
156,BeetleFly,7,8,SFA,0.3427005381434121
158,BeetleFly,7,8,SPARTAN_woDAA,0.3989599751491788
159,BeetleFly,7,8,SPARTAN,0.4103856098543477
160,BeetleFly,8,8,SAX,0.3847803442579465
161,BeetleFly,8,8,SFA,0.3566936672422839
163,BeetleFly,8,8,SPARTAN_woDAA,0.433601233850203
164,BeetleFly,8,8,SPARTAN,0.4388599625048572
165,BeetleFly,9,8,SAX,0.3908685397760432
166,BeetleFly,9,8,SFA,0.3726283192082903
168,BeetleFly,9,8,SPARTAN_woDAA,0.4443858327558966
169,BeetleFly,9,8,SPARTAN,0.4483430864744498
170,BeetleFly,10,8,SAX,0.4108377727822014
171,BeetleFly,10,8,SFA,0.3812365783458215
173,BeetleFly,10,8,SPARTAN_woDAA,0.4528417101118747
174,BeetleFly,10,8,SPARTAN,0.4620443863098231
175,BeetleFly,4,9,SAX,0.307766694353429
176,BeetleFly,4,9,SFA,0.2529677854104805
178,BeetleFly,4,9,SPARTAN_woDAA,0.3054447776342542
179,BeetleFly,4,9,SPARTAN,0.3055806220365078
180,BeetleFly,5,9,SAX,0.3130695254450483
181,BeetleFly,5,9,SFA,0.2872674084410169
183,BeetleFly,5,9,SPARTAN_woDAA,0.3563130797167859
184,BeetleFly,5,9,SPARTAN,0.3439971353146907
185,BeetleFly,6,9,SAX,0.3464751277480373
186,BeetleFly,6,9,SFA,0.3309872991778447
